Instância,GRASP,Tempo(GRASP),SA,Tempo(SA),ILS,Tempo(ILS)
"CMPLIB2010/small/p17_16_24:
",7,0.917022363,7,7.668144083,7,0.212249594
"CMPLIB2010/small/p18_16_21:
",5,0.843423233,5,5.799711010,5,0.160022042
"CMPLIB2010/small/p19_16_19:
",4,0.737141427,5,6.136237968,5,0.174517588
"CMPLIB2010/small/p20_16_18:
",4,0.753249320,5,5.673212371,5,0.160855751
"CMPLIB2010/small/p21_17_20:
",4,0.949791591,5,5.325226567,5,0.205769552
"CMPLIB2010/small/p23_17_23:
",5,1.143942143,6,5.581811754,6,0.185859571
"CMPLIB2010/small/p24_17_29:
",8,1.602072331,9,7.318993298,9,0.190777155
"CMPLIB2010/small/p40_18_32:
",8,1.828669113,9,10.138655402,8,0.210907403
"CMPLIB2010/small/p41_19_20:
",3,1.207539156,4,6.070787862,4,0.144767358
"CMPLIB2010/small/p42_19_24:
",5,1.409993134,6,7.238757524,7,0.186989523
"CMPLIB2010/small/p60_20_22:
",4,1.449188890,5,6.985826836,5,0.217533793
"CMPLIB2010/small/p61_21_22:
",4,1.628283618,5,7.169548743,5,0.212807712
"CMPLIB2010/small/p62_21_30:
",7,2.810056078,9,9.293707796,9,0.314638522
"CMPLIB2010/small/p63_21_42:
",12,4.126562990,13,12.183056200,13,0.470200593
"CMPLIB2010/small/p64_21_22:
",4,1.917513144,5,7.134542057,6,0.274712651
"CMPLIB2010/small/p70_21_25:
",5,1.679383115,7,8.283456983,6,0.221215124
"CMPLIB2010/small/p71_22_29:
",5,2.631122457,6,8.663069680,6,0.233133268
"CMPLIB2010/small/p72_22_49:
",14,5.026537285,15,12.979181284,17,0.415269048
"CMPLIB2010/small/p73_22_29:
",5,2.310385821,7,8.751246450,7,0.361238042
"CMPLIB2010/small/p74_22_30:
",6,2.584525023,7,9.283868402,8,0.362037428
"CMPLIB2010/small/p80_22_30:
",5,2.322430673,8,8.995169366,8,0.239985284
"CMPLIB2010/small/p81_23_46:
",13,5.564716943,15,13.861473322,17,0.519683662
"CMPLIB2010/small/p82_23_24:
",5,2.647063942,6,7.938533840,5,0.204463210
"CMPLIB2010/small/p99_24_27:
",5,3.047989363,5,8.576290482,6,0.213549092
"CMPLIB2010/small/p100_24_34:
",7,3.742600609,9,9.718723762,11,0.336894553
"CMPLIB2010/harwellboeing/494_bus.mtx.rnd:
",29,846.447414550,39,1181.003219592,39,28.165767989
"CMPLIB2010/harwellboeing/662_bus.mtx.rnd:
",47,1902.787598069,67,2286.860237977,66,62.441454955
"CMPLIB2010/harwellboeing/arc130.mtx.rnd:
",205,1623.486892807,220,451.166284486,274,32.976308240
"CMPLIB2010/harwellboeing/ash292.mtx.rnd:
",52,1742.932815161,178,1198.149463296,174,38.597335892
"CMPLIB2010/harwellboeing/bcspwr01.mtx.rnd:
",5,14.506963875,9,16.190830485,9,0.423438673
"CMPLIB2010/harwellboeing/bcspwr05.mtx.rnd:
",31,856.207840512,40,1046.639632360,40,26.723325260
"CMPLIB2010/harwellboeing/bcsstk01.mtx.rnd:
",37,83.239951209,41,64.122155625,50,2.649875109
"CMPLIB2010/harwellboeing/bcsstk02.mtx.rnd:
",1089,321.105000898,1089,593.157956716,1089,25.543351955
"CMPLIB2010/harwellboeing/bcsstk04.mtx.rnd:
",327,3831.661766575,348,1075.363558177,593,69.015513140
"CMPLIB2010/harwellboeing/bcsstk20.mtx.rnd:
",64,5422.188690083,130,2348.280344582,120,98.535846458
"CMPLIB2010/harwellboeing/bcsstk22.mtx.rnd:
",21,150.137814837,35,137.906667721,36,4.755684093
"CMPLIB2010/harwellboeing/can__144.mtx.rnd:
",57,629.217712370,109,385.011611677,116,23.834892850
"CMPLIB2010/harwellboeing/can__161.mtx.rnd:
",70,509.969562141,99,424.158001215,95,18.188601950
"CMPLIB2010/harwellboeing/curtis54.mtx.rnd:
",16,49.173644297,26,44.739710578,26,1.442615020
"CMPLIB2010/harwellboeing/lund_a.mtx.rnd:
",128,1328.175958258,185,744.472955696,199,26.764398366
